ProfileYear,FIPSCode,JurisdictionName,PostalAbbreviation,JurisdictionType,HHSRegion,region,GovClassification,governance,Participation,size,density,structure,WorkforceSize,IndLHA,IndRHA,UnderLHA,UnderRHA,FunctionFinancial,FunctionFacilities,FunctionIT,FunctionLegal,FunctionHR,FunctionWorkDev,FunctionCommPR,FunctionDEI,FunctionPerformance,FunctionESF,HRRecruitment,HRSelection,HRCompensation,HRBenefits,HROnboarding,HREvaluation,HRDevelopment,HREngagement,HRPlanning,HRHealthSafety,HRRelations,MajorRespBehav,MajorRespEnviro,MajorRespLTCare,MajorRespMedicaid,MajorRespPA,MajorRespREDI,MajorRespMCH,MajorRespAging,MajorRespSubstnc,MajorRespCorrections,Restucture,SHOAppoint,SHOTerm,SHOReport,BoardHealth,RegulationClinics
2022,11,District of Columbia,DC,States,3,Middle Atlantic and Great Lakes,Centralized,Centralized/Largely Centralized,Completed Profile Survey,Less than 2 million,More than 500 people per square mile,Freestanding/independent,1159,0,0,0,0,Other Agency,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,No,Other,No Term Length,Other,No Board or Council,No
2022,64,Federated States of Micronesia,FM,Island Areas,9,West,Island Area,Island Area,Completed Profile Survey,Less than 2 million,100.1 - 500 people per square mile,Under an umbrella,60,,,,,Public health division/department*,Other Agency,Public health division/department*,Other Agency,Other Agency,Public health division/department*,Public health division/department*,,,Public health division/department*,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Other Government Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Yes,Governor,1 years,Governor,No Board or Council,No
2022,12,Florida,FL,States,4,South,Centralized,Centralized/Largely Centralized,Completed Profile Survey,More than 10 million,100.1 - 500 people per square mile,Freestanding/independent,10200.05,0,0,67,0,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,,Public health division/department*,Public health division/department*,Public Health Agency Only,Public Health Agency Only,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,No,Governor,No Term Length,Governor,No Board or Council,Yes
2022,13,Georgia,GA,States,4,South,Shared,Shared/Largely Shared,Completed Profile Survey,More than 10 million,100.1 - 500 people per square mile,Freestanding/independent,1314,159,0,0,18,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,No,Governor,No Term Length,Governor,Board of Health,No
2022,66,Guam,GU,Island Areas,9,West,Island Area,Island Area,Completed Profile Survey,Less than 2 million,More than 500 people per square mile,Under an umbrella,221,,,,,,,,,,,,Public health division/department*,,Public health division/department*,Other Government Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Other Government Agency Only,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Other Government Agency Only,Other Government Agency Only,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Yes,Governor,4 years,Governor,Board of Health,Yes
2022,15,Hawaii,HI,States,9,West,Centralized,Centralized/Largely Centralized,Completed Profile Survey,Less than 2 million,100.1 - 500 people per square mile,Freestanding/independent,2401,0,0,3,0,Public health division/department*,Public health division/department*,Public health division/department*,Other Agency,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,,Other Government Agency Only,Public Health Agency Only,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,No,Governor,4 years,Governor,No Board or Council,No
2022,16,Idaho,ID,States,10,West,Decentralized,Decentralized/Largely Decentralized,Completed Profile Survey,Less than 2 million,20 - 100 people per square mile,Under an umbrella,257,0,7,0,0,Umbrella Agency,Umbrella Agency,Umbrella Agency,Umbrella Agency,Umbrella Agency,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Public Health Agency Only,Public Health Agency Only,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Other Government Agency Only,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Yes,Other,No Term Length,Other,Board of Health,No
2022,17,Illinois,IL,States,5,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Completed Profile Survey,More than 10 million,100.1 - 500 people per square mile,Freestanding/independent,1575,96,0,0,7,Public health division/department*,Umbrella Agency,Umbrella Agency,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Yes,Governor,No Term Length,Governor,Board of Health,Yes
2022,18,Indiana,IN,States,5,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Completed Profile Survey,2 million to 10 million,100.1 - 500 people per square mile,Freestanding/independent,900,94,0,0,0,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Other Agency,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Other Government Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Public Health Agency Only,Other Government Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Other Government Agency Only,Other Government Agency Only,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Yes,Governor,No Term Length,Governor,Board of Health,Yes
2022,19,Iowa,IA,States,7,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Completed Profile Survey,2 million to 10 million,20 - 100 people per square mile,Under an umbrella,410,99,0,0,0,Public health division/department*,Other Agency,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Yes,Governor,4 years,Governor,Board of Health,No
2022,20,Kansas,KS,States,7,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Completed Profile Survey,2 million to 10 million,20 - 100 people per square mile,Under an umbrella,1827.5,100,0,0,6,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,No,Secretary of State HHS,No Term Length,Governor,No Board or Council,No
2022,21,Kentucky,KY,States,4,South,Shared,Shared/Largely Shared,Completed Profile Survey,2 million to 10 million,100.1 - 500 people per square mile,Under an umbrella,395.5,61,0,0,0,Public health division/department*,More than one other entity,More than one other entity,Umbrella Agency,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public Health Agency Only,Public Health Agency Only,Both Public Health Agency and Other Government Agency,,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Other Government Agency Only,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Yes,Governor,No Term Length,Secretary of State HHS,No Board or Council,No
2022,23,Maine,ME,States,1,New England,Largely Centralized,Centralized/Largely Centralized,Completed Profile Survey,Less than 2 million,20 - 100 people per square mile,Under an umbrella,366,2,0,0,8,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Yes,Secretary of State HHS,No Term Length,Secretary of State HHS,No Board or Council,No
2022,68,Marshall Islands,MH,Island Areas,9,West,Island Area,Island Area,Did not complete Profile Survey,Less than 2 million,More than 500 people per square mile,Under an umbrella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,24,Maryland,MD,States,3,Middle Atlantic and Great Lakes,Largely Shared,Shared/Largely Shared,Completed Profile Survey,2 million to 10 million,More than 500 people per square mile,Under an umbrella,7669,1,0,23,0,Umbrella Agency,Umbrella Agency,Umbrella Agency,Umbrella Agency,Umbrella Agency,Public health division/department*,Umbrella Agency,Umbrella Agency,Public health division/department*,Umbrella Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Other Government Agency Only,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Yes,Governor,No Term Length,Governor,No Board or Council,No
2022,25,Massachusetts,MA,States,1,New England,Decentralized,Decentralized/Largely Decentralized,Completed Profile Survey,2 million to 10 million,More than 500 people per square mile,Under an umbrella,2971,351,16,0,0,Public health division/department*,Public health division/department*,Umbrella Agency,Public health division/department*,Umbrella Agency,Public health division/department*,Public health division/department*,Umbrella Agency,Public health division/department*,Public health division/department*,Other Government Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Yes,Governor,No Term Length,Secretary of State HHS,No Board or Council,Yes
2022,26,Michigan,MI,States,5,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Completed Profile Survey,More than 10 million,100.1 - 500 people per square mile,Under an umbrella,657,37,8,0,0,Umbrella Agency,Umbrella Agency,Umbrella Agency,Umbrella Agency,Umbrella Agency,Public health division/department*,Umbrella Agency,Umbrella Agency,Public health division/department*,Umbrella Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,,,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Yes,Governor,2 years,Governor,No Board or Council,Yes
2022,27,Minnesota,MN,States,5,Middle Atlantic and Great Lakes,Decentralized,Decentralized/Largely Decentralized,Completed Profile Survey,2 million to 10 million,20 - 100 people per square mile,Freestanding/independent,2031,51,0,0,8,Other Agency,Other Agency,Other Agency,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Yes,Governor,4 years,Governor,No Board or Council,No
2022,28,Mississippi,MS,States,4,South,Centralized,Centralized/Largely Centralized,Completed Profile Survey,2 million to 10 million,20 - 100 people per square mile,Freestanding/independent,1844,0,0,80,3,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Public Health Agency Only,,,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Yes,Board or Commission,6 years,Board or Commission,Board of Health,No
2022,29,Missouri,MO,States,7,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Completed Profile Survey,2 million to 10 million,20 - 100 people per square mile,Freestanding/independent,1697,115,0,0,9,Public health division/department*,Public health division/department*,Other Agency,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Public health division/department*,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Both Public Health Agency and Other Government Agency,,Other Government Agency Only,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Both Public Health Agency and Other Government Agency,Other Government Agency Only,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,Independent agency,,Governor,No Term Length,Governor,Board of Health,Yes
2022,30,Montana,MT,States,8,Mountain/Midwest,Decentralized,Decentralized/Largely Decentralized,Completed Profile Survey,Less than 2 million,Less than 20 people per square mile,Under an umbrella,224,59,0,0,0,Public health division/department*,Umbrella Agency,Umbrella Agency,Umbrella Agency,Umbrella Agency,Public health division/department*,,Public health division/department*,Public health division/department*,Public health division/department*,Other Government Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Both Public Health Agency and Other Government Agency,Public Health Agency Only,Public Health Agency Only,Public Health Agency Only,Other Government Agency Only,Other Government Agency Only,Both Public Health Agency and Other Government Agency,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Umbrella agency does not have responsibility,Umbrella agency has responsibility,Umbrella agency has responsibility,Umbrella agency does not have responsibility,Yes,Governor,No Term Length,Governor,No Board or Council,Yes
